,Tweet content,Latitude,Longitude
153578,Want to work in ? View our latest opening: https://t.co/6TNUoojHma #Hospitality #Veterans #Job #Jobs #Hiring #CareerArc,32.829614,-117.20458149999999
96223,"Join the Robert Half Finance &amp; Accounting team! See our latest #Accounting #job opening here: https://t.co/tgMWaSDYLG #PHILADELPHIA, PA",39.8913306,-75.1632937
123106,"Can you recommend anyone for this #job? Host/Hostess - https://t.co/nbnQLktCI4 #Omaha, NE #Hospitality #Hiring #CareerArc",41.25236339999999,-95.99798829999999
76784,Usually travel with books on my kindle but in a physical book mood. Now the question is: am I over the weight limit? #travel #books,38.8735912,-77.00975879000002
37919,"Tonight's the night! 2 performances, 2 Sneak Peeks, at this year's ladancefestival @diavolo_la… https://t.co/sKh60NWACN",34.065110700000005,-118.21917079999999
159949,Turns out we live 60 seconds away from a Major League Baseball team and this is an outstanding… https://t.co/xGU3nzQ1eY,38.87299,-77.00754000000002
174488,"We're #hiring! Read about our latest #job opening here: Licensed Practical Nurse - https://t.co/gjm621vhh6 #Hagerstown, MD #Nursing",39.6131245,-77.69134140000001
13454,Corvette C3 right side upper and lower door hinges 68-82 original $39.95 free shipping in USA… https://t.co/oCZK2WEwDh,25.8605,-80.294
96604,"#Repost @cocktailbandits with @grabapp_co
Draft Paloma with a Grand Mariner Floater for good… https://t.co/3NUkxNoo2r",32.79319,-79.86536
125321,@dp1274 right you are,40.76700841,-73.98264174000002
188471,jusbu_magazine #interview @grittythegreat @grittythegreat #mac #thankyou #womenofhiphop… https://t.co/NY6Djzrx2J,29.7629,-95.3832
169107,Back in the sand box terribleherbst #monsterenergy #justaddsand #MaximumAttack #sirplease @… https://t.co/N7URBHbYe2,34.8763,-117.035
158818,"Uggh. The irritation level of stupidity. 
Check out my Facebook page for more info.… https://t.co/JaRMdQMCPz",43.58762059,-79.70010684
121463,"Express: Sales Associate (#Glendale, AZ) https://t.co/bMOyLDMsgQ #Sales #express #Job #Jobs #Hiring https://t.co/JFSD2i7cMt",33.538652299999995,-112.18598659999999
160040,#IAmNotAWhore Get off the Dems ticket you miserable excuse for a human,34.18299599,-103.32672669
156018,"Hair &amp; Makeup by @chainellemolina
Big thank you to my assistant chyna___x for doing an amazing… https://t.co/iR4TG5Lcax",40.77425041,-73.87043878
99526,"We're #hiring! Click to apply: Senior Tax Accountant - Real Estate - https://t.co/vLRTLN2yww #Accounting #Chicago, IL #Job #Jobs #CareerArc",41.8839927,-87.6197056
195633,"Good Morning!!
1st &amp; 2nd Peter. @ The Marques Family House https://t.co/d6LZKSY04T",38.82451028,-77.64172560999998
163285,"#BERLIN, CT #Labor #Job: EDM operator at Westaff https://t.co/giS5GlHeIA #Jobs #Hiring #CareerArc",41.614604,-72.7806422
3972,New sewer system in works for coastal subdivision residents https://t.co/RL4xCsFQWn,29.30680084,-94.77189636
83706,"I'm at Clyde's on Church in Nashville, TN https://t.co/i2qQEq5psv",36.15577421,-86.79614193
165223,"If you're a #Nursing professional in #Miami, Oklahoma, check out this #job: https://t.co/ZCFcQmrhMt #Hiring #CareerArc",36.8745146,-94.8774554
53348,Crab omelette with gravy over pork and rice #mitsuwa @ Mitsuwa https://t.co/5kmFcuM9ly,40.816326000000004,-73.980064
147534,Isn't she a beaut? The calm before the storm at gopro's Developer Program Press Event (click on… https://t.co/SO4uCr6aPi,37.807313,-122.406249
131764,Me X @livmiami share #TheFeels ❤️🌊 #LIV #Miami #ABFranchise #Thursday #JustDance #Nightlife @… https://t.co/1uFp31W3HA,25.81661,-80.12285
132684,Cleared: Construction on #BronxRiverParkway Both directions from East Tremont Avenue to East 174th Street,40.835145000000004,-73.874044
82823,"This #Hospitality #job might be a great fit for you: Baker - Day - https://t.co/euItddjGif #parttime #Kokomo, IN https://t.co/t13DIvJHkv",40.4638865,-86.10895440000002
198802,"Try https://t.co/3N1TmkaZF7 Crust availability, prices, participation, delivery areas and charges, and #Crust #menu",45.349222999999995,-84.968982
38540,"Want to work in #Roanoke, VA? View our latest opening: https://t.co/AdPdyP8RHy #Accounting #nowhiring #Job #Jobs #Hiring",37.270970399999996,-79.9414266
53744,Drinking an Annapolis Rocks Pale Ale by @Barleyandhop @ Putter's Pub — https://t.co/nycTUqI41p,39.4236,-77.2715
175555,@RyanSeacrest Greetings! Check out my homemade Kobe tribute on YouTube. subDude &amp; the unKnown. I trust you will enjoy! 'The Flow'. Thank you,34.2000347,-118.3474898
73477,"About time, 1 more hour til our final destination (@ New Jersey Pennsylvania State Line in NJ/PA, PA) https://t.co/7IQY4sNkji",40.97704694,-75.13532639
10276,It's about to be so reallllll @ Los Globos https://t.co/ENZBJeT6tg,34.08380755,-118.27424745
97302,The #truckeeriver and #i80 twisting through the #greatbasin east of Reno. #travelnevada… https://t.co/A6HxUYejyY,39.8575,-119.44805556
120204,"Place is packed (@ Mister HotShine Car Wash - @mistercarwash in Atlanta, GA) https://t.co/GQCXok9UEo",33.83620628,-84.36838274
114035,"no matter how hard you make it for us, we will continue to make it in America 👊🏻 #twoshot… https://t.co/Dm0npkOsrX",40.80149114,-73.94902807
122438,"Want to work in #Chicago, IL? View our latest opening: https://t.co/ThmAzkFa8J #Job #Veterans #Jobs #Hiring #CareerArc",41.9998468,-87.6570368
182612,"We ended the day yesterday, with this amazingly Beautiful Transformation!! By: Chelsi!!… https://t.co/m0N4faROQu",38.034771,-78.4867935
127637,#TheSoundsOfGrace last night at #TheSumterOperaHouse last night was fantastic! These two Godly… https://t.co/HCamZ3SW6q,33.92095552,-80.34150424000002
46002,I ordered Lucy's noodles and am crying tonight. #justfridaythings #carbs,46.88559872,-96.8057825
17806,"When dinner service runs an hour after closing, and the servers start ordering shift food....… https://t.co/qIENGP9BUO",29.717335,-95.433492
117987,"We're #hiring! Read about our latest #job opening here: Release Manager- DevOps - https://t.co/aAprXqH8Et #Deerfield, IL #IT #CareerArc",42.171136499999996,-87.8445119
120318,#Wooooooooo #LiveFromDaMFgym its #Biceps #Triceps &amp; #MF #Forearms #Day #Heaux dat #Wurk… https://t.co/GQJ8uWgFcm,29.91895238,-90.01410079
176454,"Join the Einstein Bros. Bagels team! See our latest #Hospitality #job opening here: https://t.co/5z1cfQmugv #AltamonteSprings, FL #Veterans",28.6664572,-81.41958740000001
21712,Exactly as advertised. Fantastic flavorings of both beers. - Drinking a Pataskala Red X IPA @ Brick and Brew - https://t.co/aOdUnCBlN1,39.9863,-75.30889999999998
111027,Lightly spiced with clove making this a very refreshing hefe. - Drinking a Furth at @nightshiftbeer - https://t.co/XYfnS4bDks #photo,42.4057,-71.06780000000002
24819,The newest addition to the #VanishingAngle offices. #ineedtoupmygame… https://t.co/ZFmp3PXoUK,34.11490272,-118.25015935
202901,A FEW WOVENS WE HAVE IN STOCK FROM 10DEEP SPRING 1 COLLECTION @ ACK • All City Kicks https://t.co/eJwW8PzrG3,42.95537410000001,-85.63266849999998
121928,"Interested in a #Healthcare #job near #OklahomaCity, OK? This could be a great fit: https://t.co/9zj2iq6ZXT #Hiring #CareerArc",35.4675602,-97.5164276
138954,"""Ice Hockey Ice Hockey Baby"" #AddSportsRuinASong @midnight",45.4357099,-75.7275224
17537,"About to see my favorite band from Brooklyn!! @cryingband (at @TheeParkside in San Francisco, CA) https://t.co/M7cxkHl9s1",37.765108000000005,-122.399782
53229,So glad I get to celebrate these two this weekend! @ FATZ https://t.co/HBfj1qke9w,35.41858,-80.67578
40220,I say we keep dancing! #friends #nolimits #makethemsmile @ Eau… https://t.co/5dWgNsOzGV,28.132109999999997,-80.62796
134196,Cleared: Construction on #VerrazanonarrowsBridge WB at Staten Island Bound,40.6088,-74.0442
42289,"We haven't been here in so many years! #stilldelicious (@ Rube's Steakhouse in Montour, IA) https://t.co/Rhp8377AL9",41.98133058,-92.71371153
64072,"Pizza what else? (@ Vace Italian Delicatessen &amp; Homemade Pasta in Bethesda, MD) https://t.co/TcvoI90juj",38.980768,-77.093079
160894,My family and sponsor @inkedpro @inkedpro giving me the superstar… https://t.co/OiE47u3ibd,25.794810000000002,-80.23257
119616,"#MCALESTER, OK #Retail #Job: Retail Sales Consultant at AT&amp;T https://t.co/Pnps0bj2U4 #Jobs #Hiring #CareerArc",34.93342979999999,-95.76971309999999
176765,"Nothing like a nice #Free #coffee #WaWa (@ Wawa in Kissimmee, FL w/ @jorgieboi6969) https://t.co/KrbApOpUJn https://t.co/nBbSXobBR8",28.30460096,-81.45739407000002
119939,"Interested in a #IT #job near #LoneTree, CO? This could be a great fit: https://t.co/T5mURCHYeT #Veterans #Hiring #CareerArc",39.536482,-104.8970678
98381,"Flashback Friday.... Miami Today-January 22, 1987: Saul with Jeff Cohen at the Parc Vendome,… https://t.co/5WGwmTii9s",25.78239,-80.13224
6349,"Taking a twitter hiatus. If you need this work hit my line.

EmpureMedia@gmail.com",42.96194620000001,-85.68602713999998
14028,"#Hospitality #Job in #SandySprings, GA: Full Time Housekeeper at Sunrise Senior Living https://t.co/yNz4qwfKAA https://t.co/pXJ2TOLBni",33.9304352,-84.37331469999998
98005,WE ❤️ SOCCER!  EPL Games tomorrow.  FOLLOW @swaggerclubca for all your LOCAL soccer needs!… https://t.co/nzOA18SvB7,33.1586961,-117.35001907
203302,"I'm at Bayonne Bridge in Staten Island, NJ https://t.co/Dc1P2fimf5 https://t.co/GgC6vjVAQv",40.64225637,-74.14209366
185098,"Want to work in #PortArthur, TX? View our latest opening: https://t.co/hafe3WcGOq #Retail #LoveFashionLetsTalk #Job https://t.co/SQvPLAmBVf",29.905163399999996,-93.8960811
85529,"Want to work in #Lexington, KY? View our latest opening: https://t.co/769AbyhvY9 #Construction #Job #Jobs #Hiring",38.040583700000006,-84.50371640000002
34941,Tomorrow Night @ Club Levels 🔊🔊🔊 @ East Side https://t.co/e2OFpVboQs,35.9915533,-83.8881877
69413,Spring Carnival at Williams Elementary till 8pm!!!  Come get your Kraut on and help us support… https://t.co/dIRi9SzoWE,29.54066,-95.72627
23019,fannyfancypants being fancy to #ACDC in her #hotpants #LOVE this girl! My #buddy 4 LIFE… https://t.co/Qi3j39vpif,20.74071226,-105.3220591
78112,"Join the The Nature Conservancy team! See our latest #Green #job opening here: https://t.co/KyObLcc4g4 #Glyndon, MN https://t.co/adWcSuYZ86",46.843941,-96.478162
152229,"Bruh

#selfie #girlswithplugs #girlswithgauges #plugs #gauges #tattoos #girlswithtattoos #tongue… https://t.co/2AzqGhFHGg",38.6947,-121.291
99511,"We're #hiring! Read about our latest #job opening here: Admin (College Graduate) - https://t.co/w5jCVg1ylD #GoldenValley, MN #BusinessMgmt",44.9917149,-93.36000340000001
87678,"See our latest #Detroit, MI #job and click to apply: DevOps Engineer - TS - https://t.co/m6qJsLy2C8 #Engineering https://t.co/7D9XtHJViU",42.331427000000005,-83.0457538
126493,Construction on #NY22 Both directions from Titicus Road; NY 116 to Sugar Hill Road https://t.co/DGhysL9BQM,41.328098,-73.65589900000002
17072,"CENTRAL FLORIDA, you got NEXT!! The #XpressionsTour will be in Tampa TONIGHT (April 16th) at… https://t.co/RpxJ9Z1PyL",28.053457,-82.447379
198477,"When your friends make weekend plans lol @ Washington, District of Columbia https://t.co/UjxWHqFOhx",38.8951,-77.0367
53816,See that bright light all the way at the end? Yeah that's the other end. Building is a quarter… https://t.co/W3epeAAspY,38.09,-122.26333333
13918,Pretty good for only aging in barrels for 3 mon... (Black Force One Bourbon Barrel Edition) https://t.co/JeP6ItKOxt #photo,42.9463,-87.8767
93060,that peconic swampthing to send off my buddy on this beautiful friday. #ftw @ Snowflake Ice… https://t.co/BVXdgP9lek,40.91534,-72.68783000000002
101727,Some of the group of meditators in Miami at the  #davidji retreat @ Miami Sunny Isle Beach https://t.co/R7a3ILYsew,25.93044518,-80.12127945
130411,"Can you recommend anyone for this #IT #job? https://t.co/RxQqsdVwVr #Linthicum, MD #Veterans #Hiring",39.205107700000006,-76.65274559999999
153921,Double dinner Elijah I can't @ UNCLE AL'S DAVIE https://t.co/UKwMQdccUN,26.064005899999998,-80.25653382
66872,More studio equipment FOR SALE: mounting backdrop system with with three attachments. I also… https://t.co/YU4pfm4gHM,38.76305556,-93.735
167379,"Want to work at Winn Dixie? We're #hiring in #MIAMI, FL! Click for details: https://t.co/UAwLevx6jp #Retail #Job #Jobs #CareerArc",25.750144199999998,-80.24806839999998
66890,"This #IT #job might be a great fit for you: Application Developer - https://t.co/9Z7nGXiCTP #Charlotte, NC #Hiring",35.2270869,-80.8431267
8602,"This place is my favorite. (@ Dierks Bentley's Whiskey Row in Scottsdale, AZ) https://t.co/vW9Mpe8m0X",33.50104618,-111.92236704
79269,🇨🇦 @ Ottawa Macdonald-Cartier International Airport (YOW) https://t.co/3m8Z3WyJzA,45.323111700000005,-75.66774530000002
170620,Cleared: Construction on #6Line BothDir/BothDir from 3rd Avenue-138th Street Station to Parkchester-E 177th...,40.810959999999994,-73.927336
111704,"Interested in a #Retail #job near #Emeryville, CA? This could be a great fit: https://t.co/JqBdwkjysF #Hiring #CareerArc",37.835615999999995,-122.2921669
45399,Who is ready for the show tonight? Get your tickets at https://t.co/jHmzVgQ5lw. #zigmermaid #theater… https://t.co/Hn68DqAh2V,41.19137967,-111.97079656
194370,"Can you recommend anyone for this #Banking #job? https://t.co/1Peg57U5pG #Arlington, TX #Hiring",32.7476492,-97.0924899
204514,"Be determined and confident💞

UnderNeath the MakeUp Series Nurture the Powerful You!-Cherise A… https://t.co/Jn3SZJXTYq",26.14546291,-80.25830956999998
183221,"Want to work in #Denver, CO? View our latest opening: https://t.co/GsEjTAPYpF #Education #Veterans #Job #Jobs #Hiring",39.7541032,-105.0002242
198495,"Nightingale And Swallow, Part I, a Fiction Piece by Taylor Sykes  https://t.co/iWCEVIxiGn",40.7207559,-74.00076129999998
56840,"Skip the line baby don't look back, tonight we high class ✨💋🇮🇹❤️… https://t.co/v41nqAe4AK",39.94896,-75.15146999999999
28102,Some bone marrow and a little whiskey bone marrow shot luge for nordeastprod #bachelorparty in… https://t.co/KiXrGUgqRi,44.97448205,-93.27222551
188130,Do you believe they don't have broasted chicken in Colorado? (@ Chicken Delite) https://t.co/IN2Fdh2xNi https://t.co/6BTj79JtTZ,42.62524479,-82.97344923
54342,Gorgeous Friday evening light at #VanderbiltStadium #VanderbiltUniversity #GoDores #AnchorDown… https://t.co/epgz0tvozg,36.14574745,-86.80454333
146666,"Want to work at Ryder? We're #hiring in #ROCKFORD, IL! Click for details: https://t.co/BbxuTL0mvr #BusinessMgmt #Job #Jobs",42.2711311,-89.09399519999998
139472,#tbt @mattnathanson and @aarontap for Matt's acoustic #showmeyourfangs tour in San Francisco on… https://t.co/KP1lr9TAgO,37.78496407,-122.41889781
64092,"Want to work in #Rockford, IL? View our latest opening: https://t.co/Yj7ODCSOtV #Nursing #ER #RN #Job #Jobs #Hiring https://t.co/4X2BoTB4O4",42.2711311,-89.09399519999998
119925,"#Earthquake: M 0.6 - 7km W of Cobb, California: Time2016-04-15 15:18:21 UTC2016-04-15 08:18:21 -07:00 at epice... https://t.co/uu4VTohGfP",38.8301659,-122.80583190000002
147563,"We're #hiring! Read about our latest #job opening here: Parts Delivery - https://t.co/wj7LyhF1zt #SACRAMENTO, CA #Transportation #CareerArc",38.694855100000005,-121.3605831
71977,End his know but now Eazy duzz it! #EazyE #Jr #NWA #Thuggin #Duzzit… https://t.co/HXwDXUUZ8l,33.89666667,-118.225
146055,When your office knows you are on a diet but someone wants to thank you anyway...seriously the… https://t.co/V8KQlOGZ96,41.91017,-87.68401
72244,"Attorney Jobs-JDHUNTR-15957 Counsel,... - In-House Counsel Jobs | JDHUNTR: (#VariousUSCities, US) https://t.co/yzKExoE4kq #Legal #Job #Jobs",34.062028000000005,-118.314876
117345,"Can you recommend anyone for this #Healthcare #job? https://t.co/BVGefWqDue #Annandale, VA #Hiring #CareerArc",38.8303905,-77.1963703
69645,"Unusual for us to have two vacancies, maybe the market is softening... Even dropped the price… https://t.co/mBh1RAtwiS",37.78734216,-122.41155955
130628,"#IT #Job in #PaloAlto, CA: Senior User Experience Researcher at VMware https://t.co/r61jQzg0Cl #Jobs #Hiring",37.441883399999995,-122.14301950000001
1874,Temp: 59.8°F Wind:2.5mph Pressure: 30.079hpa Steady Rain Today 0.00in.,31.62277778,-89.23388889
106840,"We're #hiring! Read about our latest #job opening here: Store Counter Sales - https://t.co/X4wnjKU4ZJ #ELDON, MO #Retail #CareerArc",38.3446649,-92.581544
93843,"Want to work in #Westlake, TX? View our latest opening: https://t.co/Gxd7zuFOBA #Clerical #Job #Jobs #Hiring #CareerArc",32.991234999999996,-97.1950138
102371,"Interested in a #HR #job near #SymmesTownship, OH? This could be a great fit: https://t.co/YINOV5OmR6 #WomeninSTEM #Hiring",39.247003,-84.29632679999999
30308,@royjonesjrfa  weigh ins can always get a little heated! sdragonc @TheHeat001 #weighins… https://t.co/zOqgA1DgMj,36.17041412,-115.14368704
116308,"We're #hiring! Click to apply: CPMC - RN Transfer Coordinator Regnl Center - Benefited - https://t.co/pPw13oLJjD #Nursing #Novato, CA #Job",38.107419799999995,-122.5697032
190112,"Back at home (@ Los Reyes in Whittier, Calif) https://t.co/ihKcvHyit8",33.94403223,-117.97761729
176403,"Unique 26""sq Vintage ethnic textile hand woven decorative throw pillow… https://t.co/YeQSNq6FiW",40.7142,-74.0064
115244,Just #closed on this gorgeous #vabeach #home with these amazing clients! They are the parents of… https://t.co/nswID4lhwp,36.829898799999995,-76.06703950000002
202156,"Kobe XI FTB 
Available for purchase size: 8.5, 9.5, 12  Dm with offer 

NOT TAKING OFFERS LESS… https://t.co/RqvT8WzaFm",43.7166,-79.3407
82043,Ready to spend the Day with Girls &amp; Fellas then later tonight we party for the Birthday Girl… https://t.co/u0HCWdWh1A,36.12083333,-115.17222222
143032,"HJR0808 [Passed] Benjamin Hanback, Top Ten Senior, Collinwood High School https://t.co/BjKNNvasCd",36.166011,-86.784297
76953,"Ready for Summer Camp Fair tomorrow, presented by @jcfamilies @ Drs Medical Associates https://t.co/m01NXVMJ05",40.71975,-74.04366
127266,"Department of Veterans Affairs: Supply Technician (#Dallas, TX) https://t.co/jli5kccEZT #SupplyChain #Veterans #Job #Jobs #Hiring",32.7766642,-96.7969879
16290,"Can you recommend anyone for this #job? Loss Prevention Detective- Fairview Park - https://t.co/aIX7keArrd #FairviewPark, OH #BusinessMgmt",41.4414366,-81.86430390000001
203890,We're #hiring! Click to apply: Ultrasonographer / Ultrasound Technologist (US) /... - https://t.co/D9U2i6U8Pe #Job https://t.co/jW8gv036g3,38.6270025,-90.1994042
9338,Post surgery beer. Kellen is fine and should only have a tiny scar... (Mosaic Single-Hop Pale Ale) https://t.co/U8osV93ve9,36.0376,-115.07600000000001
69293,"I told her no, but she demanded a selfie with me😆!!! @ Brea Mall https://t.co/7DHGWGBzxS",33.91555607,-117.88649261
144275,Erin is such an old dear friend of mine. 10 years apart and it felt like nothing. What a great… https://t.co/3lrrBcoxyK,34.01068295,-118.49605338
34012,"#TheFrustratedFADiaries 

Reposting my #MostBeautifulConnection with @piawurtzbach in… https://t.co/uFI8fYGmWL",40.76139432,-73.97882432999998
167344,"🌴☀️ (@ City of Solana Beach - @citysolanabeach in Solana Beach, CA) https://t.co/naUq6IPa3x https://t.co/vHF7mi3l9C",32.99268348,-117.27072025
37488,Truth shines through. @ HPGRP Gallery New York https://t.co/i3VRPPgca4,40.722640000000006,-74.00981999999999
63777,This wig is something. #WCU #Gypsy #100happydays @ Bardo Performing Art Center https://t.co/CiYTjv3vKz,35.30732598,-83.18432181
18529,"See our latest #StLouis, MO #job and click to apply: Lab Support Outside Sales Representative (Account Manager) - https://t.co/mjrULNJzps",38.6105426,-90.33718890000002
57191,Where the Four Corner States meet... #FourCorners #FourCornersMonument #Arizona #Colorado… https://t.co/AC56PI35qP,36.99800719,-109.03483399
204540,"I'm at Clifton Neighborhood in Louisville, KY https://t.co/Tkaui1EGfY",38.25600927,-85.70024728999998
134195,"Dangerous Love by Fuse ODG Featuring Sean Paul is #nowplaying in Tavern on Main, Snellville.",33.838899,-84.06572300000002
33940,"Hello please listen to
NOT SLOWING DOWN
Click the link on my bio to listen to it fully. Let me… https://t.co/DIBEugwF8f",36.175,-115.13600000000001
9617,"So tired😴😴🚀 (at Kingstowne, VA) — https://t.co/6oqC10BOIR",38.78184,-77.07719
89036,"Can you recommend anyone for this #Sales #job? https://t.co/Gss70B7P1E #B2B #SANANGELO, TX #Hiring https://t.co/DSU6xSDJar",31.4637723,-100.4370375
192765,"Morning workout. 早练 #HIIT (at @24HourFitness in San Diego, CA) https://t.co/wjvqqbvC5N",32.873001,-117.212139
56108,#prom #prom2k16 @ Camden High School https://t.co/ZHn4HVNfmz,34.24083333,-80.61583333
43015,"""no one knows what it means but it's provocative"" 💁🏻❤️ @ Myrtel Beach Sc https://t.co/XhkncMMsbu",33.70405378,-78.86603036
3727,"Want to work in #Detroit, MI? View our latest opening: https://t.co/Tp5DV2SwzZ #IT #Job #Jobs #Hiring https://t.co/OGu1UB24PJ",42.331427000000005,-83.0457538
119885,There's a lot of this going on in our cubicles today. #carousel #lavieenrose 🎼 @ Wortham Theater… https://t.co/hZhgCEDOfh,29.76273943,-95.3661688
7387,"Weather now: clear sky, 44°F, 5 mph south wind. https://t.co/8PI9ztsfPU",39.30190319,-76.61553459999999
34992,Tigerfest consisted of us waiting in line for an hour to get our… https://t.co/EgOe5vDP97,39.39353889,-76.61054836
